,0
10,"지난번에 신메뉴인 토리파이탄 먹어봤는데 부드러운 거품섞인 국물이 예술 먹어보지 않으면 아무도 감히 상상할수 없는맛🤩 또 먹을까 엄청엄청 고민
하다가 최애 메뉴인 소유라멘으로 결정!! 모든 메뉴가 다 입맛에 딱맞아서 점점더 결정하기 힘들어지네요ㅠㅠ 사장님 신메뉴는 천천히 내주세요 저 힘
들어요😢 오늘 차슈가 불맛 가득한게 너무 맛있었어요,, 입맛돌아서 공기밥까지 뚝딱 말아먹고 왔네요.."
11,마제소바 빨간맛이 뭘까 궁금해서 주문했는데 아부라소바랑 비슷하네요. 제가 일본 면요리 중에 젤 좋아하는 게 아부라소바인데 한국에서도 몇 번 먹어봤지만 일본에서 먹던 맛이 아니라  아쉬웠거든요. 이제 아부라소바 생각나면 도쿄 가고 싶단 생각 대신 라쿠라쿠 가면 되겠어요! 닭껍질교자도 무척 맛있었습니다. 단골각!
12,"쇼유라멘 맛집은 흔치 않은데 정말 맛있게 먹었어요! 만원에 돼지고기 닭고기에 계란까지! 만족입니당
탄탄멘도 굿굿 사이드로 치킨난반 강추👍🏻"
13,"집근처에 이런 맛집이 있어서 좋아요 지방에서 올라온 막내동생이 한번먹구 자꾸 생각난다고 해서 또 데려갓어요 저는 신메뉴 토리파이탄을 도전했는
데 제입맛에는 매콤한 탄탄멘이 더 맛잇엇어요 동생은 탄탄멘 먹고 역시 맛잇다햇구요 치킨난반 역시 추천추천합니다~ 넘 맛잇어용🥰"
14,"신대방 라멘 맛집👍🏻🥹 이번에 새로 나온 신메뉴도 먹어봤는데, 되게 담백하면서 부드러워서 맛있어요ㅎㅎ 탄탄멘두 부드럽고 생각보다 매콤해서, 느
끼함도 잡아주고 넘 맛도리ㅎㅎ 타르타르소스에 치킨난반도 바삭바삭함이 살아있고, 되게 촉촉해요💛  사장님두 친절하셔서 편안하게 식사 가능해용  
신대방역 혼밥집으로도 아쥬 강츄!  맛있게 잘 먹었슴니다 :)"
15,"지금까지 먹었던 라멘중에 제일 맛있어요 
만석이여도 대기석이 따로 마련되있어 편하게 기다릴수 있었어요 양도 많고 든든하게 잘먹었습니다 
"
16,"진짜 인생 라멘집  메뉴 다 맛있었지만 탄탄멘은 그냥 미쳤어요 무조건 먹어야합니당 너무너무너무너무너무맛있어요  국물까지 싹 비우게되는맛.. 😋
😋🤤🤤"
17,"근처 볼일있어갔다가  검색으로 가보고싶어찾은곳
아늑한 일본식당분위기에 맛도짱
역근처라 교통도 편리해서 다시찾고싶은곳"
18,"데이트 코스로 항상 가는 라쿠라쿠..!
이제는 대기하구 들어가야하지만ㅠㅠ 친절한 사장님 덕분에 항상 기분좋게 먹고 가요! 오래오래 영업해주세요! 감사합니다."
19,"평일 낮에 여유를 즐기려 왔는데 해도 잘들고 아늑하니 너무 좋네요! 탄탄멘 먹었는데 맵다고 해서 걱정했는데 많이 안맵고 사골육수맛도 진해서 너무 
맛있었어요! 양이 적은가했는데 왠걸...그릇이 밑에까지 푹파인 그릇이라 배부르게 잘먹었어요! 단무지도 유자향 솔솔~ 진하고 부드럽고 매콤한데 뭔가 
고급진~ 나중에 마제소바에 튀김에 맥주한잔하러 와야겠어요ㅎ"
