ID,Commet,words2
traveln_xo,늦었지만 많이 축하드려요~😍😍,['축하']
travel.with.k_,와.. 올리버님 진짜 너무 축하드려요!! 역시 잘 되실 줄 알았어요!😍🙌 앞으로도 무한 응원합니다💪🏻👏🏻🎉,"['올리버', '진짜', '축하', '역시', '무한', '응원']"
jin_jin_mommy,사진 찍는거 많이 배우고 갑니다👏👏 항상 좋은 사진을 보는것도 기부니가 좋아져요~~~❤️ 화이팅입니다~~~~!!!!,"['사진', '항상', '사진', '기부', '화이팅']"
sr_ch_,올리버님 축하드려요🙌🙌🙌 앞으로도 좋은 컨텐츠 공유해주세요🙌,"['올리버', '축하', '컨텐츠', '공유']"
bangbbae_bubu,30만 축하드려요! 올리버님 릴리님 두분다 너무 멋져요!!!😍👏,"['축하', '올리버', '릴리', '분다']"
h_moon.kim,진심 추카추카 완전 축하합니다. ^^,"['진심', '추카', '추카', '완전', '축하']"
yeong_4283,넘넘 축하드려요 🎉,['축하']
christie_js_han,"표정도, 동작도, 편집도 너무 이뻐요. 이쁜 커플~","['표정', '동작', '편집', '커플']"
songtravel2023,올리버님 너무 축하드립니다!!!😍🎉🥳🎊 앞으로 더욱 승승장구 하시고 꽃길만 걸으시길 응원드립니다😍🔥🔥,"['올리버', '축하', '더욱', '승승장구', '꽃길', '응원']"
eun_ssun_y,올리버님 혹시 팬미팅같은거 해 보실 생각은 없으셔요???😍😍😍😍,"['올리버', '혹시', '팬미팅', '생각']"
_solb_ii,올리버님 덕분에 아이폰으로 처음 별사진도 찍어보고 많은 꿀팁 알게됐어요😍😍 30만 축하드려요~!👏🏻👏🏻,"['올리버', '덕분', '아이폰', '처음', '사진', '보고', '꿀팁', '축하']"
misoyuren,응원합니다 ~~~~~❤️,['응원']
mongniyang,축하드립니다. 항상좋아요만 눌르고~ 갔는데 경사네요! 축하드립니다,"['축하', '항상', '경사', '축하']"
jins_fairy,보정앱 어떤 거 쓰시나요?ᩚ~~❤️❤️❤️❤️,['보정']
